,Search,Tweet_Date,Original_Tweet
66,Bolsonaro,2022-04-17,"@Aguiarthur Fora Bolsonaro

Isso mesmo 

Amigos 🌵🌵🌵🌵🌵 vamos ajudar 

Fora jessi
Fora jessi

Fora jessi

Fora jessi

Fora Bolsonaro

Fora jessi

Foca no Gshow:
https://t.co/6egg2rQERT

#ForaJessi 

Vai Corinthians

Arthur campeão"
67,Bolsonaro,2022-04-17,"Anitta declarou que é Bolsonaro até pertinho da tatuagem.
https://t.co/1OYNaDViwB"
68,Bolsonaro,2022-04-17,"Bolsonaro deve ter suas redes sociais controlada por alguém de 12 anos, não é possível."
69,Bolsonaro,2022-04-17,"@reinaldoazevedo A ""esquerda"" mentirosa Lula PT. Também foi xingado por você e alguns de seus colegas, também porta-vozes (travestidos de jornalistas) de dono de imprensa. Agora pagaram a seu chefe, para mandar você criticar o fantoche Bolsonaro!
Veja q vergonha se tivesse! https://t.co/AJ16Mcfh9W"
70,Bolsonaro,2022-04-17,@Biakicis @jairbolsonaro Aqui de 9 pessoas ngm!!!! Vtnc Bolsonaro.
71,Bolsonaro,2022-04-17,"@Biakicis @jairbolsonaro Aqui somos todos Bolsonaro, inclusive os jovens https://t.co/AyFmD8CzUM"
72,Bolsonaro,2022-04-17,"Aqui no morro, odiamo Bolsonaro
Aqui no morro, odiamos o estado
Respeita a tia e os morador
Lembra de ver a moeda dos dois lado🎵🎶"
73,Bolsonaro,2022-04-17,"@Biakicis O povo espontâneo,  e gosto de apoia Nosso Querido presidente Bolsonaro. Ele ajuda realmente o povo. 🇧🇷🇧🇷🇧🇷🙏👍🤣🤣💚💛"
74,Bolsonaro,2022-04-17,"Bolsonaro não consegue vingar um projeto de lei de carteirinha de estudante mas pra esse aqui ele tem poder de ""sequestrar"" todos os órgãos do governo.

Se você ainda dá um pingo de confiança pra gente desse tipo aqui o trouxa é você. https://t.co/qwLEMhbyN6"
75,Bolsonaro,2022-04-17,Derrotar Bolsonaro? Como enfrentar a desinformação e Ignorância ostentaç... https://t.co/7XArHZE3Ba via @YouTube
76,Bolsonaro,2022-04-17,"@LyrioRejane @silveira50 @LeilaLicio @LalaMineiraZi @alinesousil @OInconformado3 @EdneiaCSantos @LNickele @adinaelsilva @Antnio30709619 @Thor054 @VanuzaRocha12 @BergMartins14 @CameloJubeni @Mrlyrio @RE_BOLSONARO #GruNacaoAmadaSDV💚💛
➡️SDV GARANTIDO 🇧🇷 @Jo01524566Jaime 

@silveira50
@LeilaLicio 
@LalaMineiraZi
@alinesousil
@OInconformado3
@EdneiaCSantos
@LNickele
@adinaelsilva
@Antnio30709619
@Thor054
@VanuzaRocha12
@BergMartins14
@CameloJubeni
@LyrioRejane
@Mrlyrio
@RE_BOLSONARO"
77,Bolsonaro,2022-04-17,"@FabioCFProf O que que foi-se embora totalmente? Por mim Bolsonaro, sendo chefe supremo das forças armadas, mandava cercar o STF e o Congresso, mas, infelizmente as coisas não funcionam assim. Essa turma acha que o Exercutivo tem superpoderes."
78,Bolsonaro,2022-04-17,"@luizcvianna22 @DeputadoFederal Aí  veio o Bolsonaro é transformou o semi árido nordestino em um ""Éden"" aqui na terra. Sei...🤔"
79,Bolsonaro,2022-04-17,"O ministro da saúde anunciou o fim de alguma coisa que não entendi se é o fim da pandemia, mas com certeza é algo que Bolsonaro mandou pra agradar alguém."
80,Bolsonaro,2022-04-17,Fora Bolsonaro o resto são todos ladrões https://t.co/V3GQ4IJEMF
81,Bolsonaro,2022-04-17,@BlogdoNoblat Pra votar Bolsonaro minha mão já tá tremendo...🎵🎶🎵🎶 https://t.co/fSjFW50mGz
82,Bolsonaro,2022-04-17,"""... ao Ministro Edson FACHIN @TSEjusbr... vai ficar por isso mesmo???""

https://t.co/GuO3JfxkTV"
83,Bolsonaro,2022-04-17,Gleisi: ataque de Bolsonaro a artistas e ironia para cima de Anitta é tentativa de esconder seus escândalos https://t.co/k55fJ2afOn
84,Bolsonaro,2022-04-17,@MgkMariana @kimpaim Bolsonaro é a única solução para o Brasil.
85,Bolsonaro,2022-04-17,"@Amora96757846 @flaviofk Te confesso que não pesquisei o dono da marca.
Mas, continuo achando que foi um evento religioso.
A proporção que o evento tomou, até confunde com ato político.
Onde tem Bolsonaro, o povo acompanha, isso é fato!"
86,Bolsonaro,2022-04-17,"@showdavida @showdavida aguardando ansiosamente uma reportagem investigativa sobre os ig de fofoca, e seu ganho financeiro na queima de reputação das pessoas e promoção de estelionatários. VAMOS LÁ ESSE VALE O PULITZER. Até do Renan Bolsonaro fizeram campanha de marketing pra promove-lo."
87,Bolsonaro,2022-04-17,"Rondônia como sempre Bolsonaro, aí que desgosto, minha gente 🤢 https://t.co/C1jU7nxhUm"
88,Bolsonaro,2022-04-17,@marflecha @LucianoHangBr Não acredito.  Mas respeito sua opinião..  Mas co. Três anos de Bolsonaro. Não me resta dúvida alguma sobre a Volta do Lula..
89,Bolsonaro,2022-04-17,@GugaNoblat Não importa a sua opinião sobre Jair Bolsonaro. Você mexeu com a fé de milhões de cristãos. Isso é Vilipêndio. Você é o típico esquerdista que prega o respeito e inclusão e faz totalmente o oposto do fala. Não da pra esperar nada de bom de gente como você. Feliz Páscoa.
90,Bolsonaro,2022-04-17,@pauloteixeira13 @Anitta Bolsonaro 22 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷
91,Bolsonaro,2022-04-17,"Rotular o desprezível, Bolsonaro de louco ou burro não passa de um "" consolo pequeno-burquês "" 
Esse discurso reduz o ' insignificante ' a uma mera patologia moral, uma loucura, um desvio que os indivíduos mal adaptados não conseguem desenvolver."
92,Bolsonaro,2022-04-17,"@tocontigo Arthur não merece ser comparado a Bolsonaro, mas ele tem uma torcida bem parecida, inclusive por parte dos famosos"
93,Bolsonaro,2022-04-17,"@MgkMariana @kimpaim Bolsonaro voltou a dar dinheiro para globo e ela voltou a ser a principal recebedora de dinheiro publico e tirou dinheiro das Tv's religiosas grita mito ai.

Suas narrativas de gado não se sustentam por 1 segundo se quer."
94,Bolsonaro,2022-04-17,Anitta no se aguantó a Bolsonaro y lo bloqueó por comentarios de Coachella: búscate algo para hacer https://t.co/vD1cWv6Zay
95,Bolsonaro,2022-04-17,@Oprodemocracia @JornalOGlobo Eles só estão fazendo o que o Bolsonaro e as forças armadas estão fazendo. Mas por causa de extrema pobreza. Classe social não exime o Bolsonaro de culpa
96,Bolsonaro,2022-04-17,"@reinaldoazevedo Até nisso Bolsonaro e Lula são iguais.

Dois páreas.
#NemLulaNemBolsonaro"
97,Bolsonaro,2022-04-17,@ArthurWeint @julio_c_barros Coisa que o presidente Bolsonaro deixou para se aliar com o centrão! https://t.co/iUfQv1Jenw
98,Bolsonaro,2022-04-17,"@DaLuizito @tjovemsfc que atitude ridícula né,  querem falar o que do Bolsonaro. A culpa é dele dessa atitude irresponsável de vocês?"
99,Bolsonaro,2022-04-17,@harunossa FEZ MAIS Q BOLSONARO
100,Bolsonaro,2022-04-17,"Não vai existir mudanças, 
é o mais do mesmo de sempre!!!
Lula, Bolsonaro, o que muda!? https://t.co/qoGHElpxnr"
101,Bolsonaro,2022-04-17,"@wlgoulart1 @LulaOficial Mais como o pinguço vai parar encima do jegue? Vai dar problema, vão falar que o Bolsonaro subornou o jegue pra derrubar o cachaceiro"
102,Bolsonaro,2022-04-17,"@oeliasnehme @RGuianze @JornalOGlobo @LulaOficial @Cristianozaninm @ptbrasil Se nem a mídia que reporta até peido do Bolsonaro não sabe, não sou eu quem vou saber. Só sei que da ultima vês que vocês insistiram para liberar as conversas de uma reunião dele o apoio dele aumentou. Kkkkkkkk"
103,Bolsonaro,2022-04-17,e vai pro inferno bolsonaro https://t.co/bNfKmffKeG
